audit_id,rule_id,title,category,priority,impl_status,adapter_exists,adapter_function,implementation_module,execution_type,data_sources,external_dependency,current_capability,remaining_gap,manual_review_required,planned_workstream,owner,notes
22,image_optimization,图片优化,技术性能,Medium,EXISTING_PARTIAL,TRUE,check_image_performance,extended_checks.py + server.py,STATIC_ANALYSIS + EXTERNAL_API,LibreCrawl + PageSpeed API,None,已检查 lazy-load/sizes/srcset/维度/格式/ALT。缺少：PSI 的 Properly Size Images 和 Efficiently Encode Images 机会项整合、实际传输大小 vs 显示尺寸对比。,已检查 lazy-load/sizes/srcset/维度/格式/ALT。缺少：PSI 的 Properly Size Images 和 Efficiently Encode Images 机会项整合、实际传输大小 vs 显示尺寸对比。,FALSE,PHASE_3_COMPLETE,,
23,cache_cdn,缓存与 CDN,技术性能,High,EXISTING_PARTIAL,FALSE,,server.py,HTTP_FETCH,LibreCrawl,None,仅通过 response_time 间接反映缓存效果。缺少：Cache-Control 头解析、CDN 命中状态检测（CF-Cache-Status/X-Cache/Age）、静态资源长期缓存策略验证。,需要解析响应头中的缓存指令和 CDN 状态头,FALSE,REMAINING_PARTIAL_REVIEW,,
24,mobile_usability,移动可用性与真实设备体验,移动体验,High,NEW_EXTERNAL_DATA,TRUE,check_mobile_experience,server.py:_build_report (viewport),EXTERNAL_API,PageSpeed API,External/Manual,仅检查 viewport meta 标签是否存在。缺少：移动端 Lighthouse 分数、触控目标间距、字体大小、横向滚动检测。PSI 的 CruX 和 Lighthouse 移动数据可覆盖大部分。,仅检查 viewport meta 标签是否存在。缺少：移动端 Lighthouse 分数、触控目标间距、字体大小、横向滚动检测。PSI 的 CruX 和 Lighthouse 移动数据可覆盖大部分。,FALSE,EXTERNAL_DATA_PENDING,,
25,https_certificate,HTTPS 与证书链,安全与 Header,Critical,EXISTING_PARTIAL,FALSE,,server.py + extended_checks.py,HTTP_FETCH,LibreCrawl,None,已检查 HTTPS 重定向和页面内 Mixed Content（http:// src/href）。缺少：SSL 证书链验证、证书到期日期检测、全站 HTTPS 覆盖率统计。,需要 SSL 库进行证书链验证,FALSE,REMAINING_PARTIAL_REVIEW,,
26,hsts_security_headers,HSTS 与安全头,安全与 Header,Medium,EXISTING_FULL,TRUE,_adapter_security_headers,extended_checks.py,HTTP_FETCH,LibreCrawl,None,已完整实现。检查 5 个安全头的存在性，对 HTTPS+2xx 页面逐一验证。,已完整实现。检查 5 个安全头的存在性，对 HTTPS+2xx 页面逐一验证。,FALSE,COMPLETE,,
27,schema_type_coverage,Schema 类型覆盖,结构化数据,Medium,EXISTING_FULL,TRUE,_adapter_schema_coverage,server.py + schema_validator.py,STATIC_ANALYSIS,LibreCrawl,None,已支持 17 种 schema 类型，含 @graph 解析（Yoast/RankMath/WPRM）。可输出按类型分组的覆盖统计。,已支持 17 种 schema 类型，含 @graph 解析（Yoast/RankMath/WPRM）。可输出按类型分组的覆盖统计。,FALSE,COMPLETE,,
28,schema_errors_conflicts,Schema 错误、重复与冲突,结构化数据,Medium,EXISTING_PARTIAL,TRUE,check_schema_conflict,schema_validator.py,STATIC_ANALYSIS,LibreCrawl,None,已检测 required fields 缺失和 parse errors。缺少：多插件/主题输出冲突检测（同一页面多个 Organization/Product/Breadcrumb 实体交叉验证）、重复 schema 实体识别。,插件冲突检测需要对比同一页面中多个 JSON-LD 块的 @id 和属性,FALSE,PHASE_2_COMPLETE,,
29,hreflang_basics,hreflang 基础实现,国际化/多语言,Medium,EXISTING_FULL,TRUE,_adapter_hreflang_basics,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已完整实现：self-reference、x-default、invalid codes、missing return tags、lang-attr conflicts、to_broken、to_noindex。误报修复（v2.0.5：大小写不敏感、x-default 排除）。,已完整实现：self-reference、x-default、invalid codes、missing return tags、lang-attr conflicts、to_broken、to_noindex。误报修复（v2.0.5：大小写不敏感、x-default 排除）。,FALSE,COMPLETE,,
30,broken_internal_links,站内坏链,链接分析,High,EXISTING_FULL,TRUE,_adapter_broken_links,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已识别内部 4xx 链接并输出 Broken Pages 表（含 Linked From 和 anchor text）。导航和模板错误可被检测。,已识别内部 4xx 链接并输出 Broken Pages 表（含 Linked From 和 anchor text）。导航和模板错误可被检测。,FALSE,COMPLETE,,
31,backlink_overview,外部反向链接概览,链接分析,Medium,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,Semrush API,Semrush API,需要 Semrush Backlink Analytics 或 GSC Links 报告数据。可接入 Semrush API 获取 refdomains/backlinks 并按页面汇总。,Semrush 是付费服务；GSC Links 报告更有限,FALSE,SEMRUSH,,
32,media_sitemap,Image/Video Sitemap,媒体与富媒体,Low,EXISTING_PARTIAL,TRUE,check_media_sitemap,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现crawl数据中的图片/视频检测、sitemap数据中的image:image/video:video命名空间检查。剩余gap：没有针对每个sitemap子内容类型进行完整XML解析，依赖sitemap raw文本检测；图片sitemap必要性判断依赖图片数量阈值（>10）。,已实现crawl数据中的图片/视频检测、sitemap数据中的image:image/video:video命名空间检查。剩余gap：没有针对每个sitemap子内容类型进行完整XML解析，依赖sitemap raw文本检测；图片sitemap必要性判断依赖图片数量阈值（>10）。,FALSE,PHASE_4A_COMPLETE,,
33,server_log_analysis,Server Logs 抓取分析,日志与抓取分析,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,Server Logs,Server Log,需要服务器访问日志文件。可解析 Apache/Nginx 格式日志，统计 Googlebot/Bingbot 抓取频率、状态码分布、热点路径和浪费 URL。,需要服务器 SSH/文件访问权限；共享主机可能不可用,FALSE,SERVER_LOG,,
34,gsc_ga4_config,Search Console/Analytics 配置,监控与跟踪,Critical,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC API + GA4 API,Server Log,GSC/GA4 属性验证状态需要通过对应平台 API 检查。现有 GSC merge 工具可接收数据但不会主动检查配置状态。,需要对应平台的管理员权限,FALSE,SERVER_LOG,,
35,event_conversion_tracking,事件与转化追踪,监控与跟踪,Medium,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GA4 + GTM,GSC API,需要 GA4/GTM 访问权限验证关键转化事件（表单、电话、邮件、购买）的触发配置。无法通过公开页面检测。,需要 GTM 预览模式和 GA4 实时报告确认,FALSE,GSC,,
36,wp_updates_security,核心/主题/插件更新与安全,WordPress 专项,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,WordPress Admin,External/Manual,版本和漏洞检查需要 WP 后台或 WP-CLI 访问权限。可通过扫描 readme.html、generator meta tag 推断 WP 版本，但无法获取插件/主题版本列表。,需要 WordPress 管理员权限,TRUE,MANUAL_WORKFLOW,,
37,seo_plugin_conflicts,SEO 插件与主题输出冲突,WordPress 专项,High,EXISTING_PARTIAL,TRUE,check_seo_plugin_conflict,schema_validator.py,STATIC_ANALYSIS,LibreCrawl,None,已检测同一页面的多个 JSON-LD 块的重复/冲突。缺少：Title/canonical/robots meta 的多个输出源检测（Yoast vs Rank Math vs 主题 SEO 功能 vs 缓存插件的 meta 输出）。,需要在 HTML head 中检测多个 SEO 插件的特征标记,FALSE,PHASE_2_COMPLETE,,
38,permalink_rewrite,Permalink 与 rewrite,WordPress 专项,Medium,EXISTING_PARTIAL,TRUE,check_permalink,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检查 URL 中的空格/多斜杠/非 ASCII/下划线。缺少：WordPress 特定检测（?p=123 参数、重复路径 slug、rewrite 冲突、/%postname%/ vs /%category%/%postname%/ 一致性）。,需要了解站点的预期 permalink 结构,FALSE,PHASE_2_COMPLETE,,
39,xmlrpc_rest_api_exposure,XML-RPC/REST API 暴露与滥用,WordPress 专项,Low,EXISTING_PARTIAL,TRUE,check_wordpress_api_exposure,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现从crawl数据检测WordPress信号（URL路径、内部链接、generator meta）、xmlrpc.php可访问性、REST API用户暴露。WP_SECURITY_PROBES_ENABLED默认为false —— 不主动HTTP探测。剩余gap：无主动HTTP探测时覆盖率有限（仅在crawl数据中发现REST API端点），wp-login.php限速保护未检查。,已实现从crawl数据检测WordPress信号（URL路径、内部链接、generator meta）、xmlrpc.php可访问性、REST API用户暴露。WP_SECURITY_PROBES_ENABLED默认为false —— 不主动HTTP探测。剩余gap：无主动HTTP探测时覆盖率有限（仅在crawl数据中发现REST API端点），wp-login.php限速保护未检查。,FALSE,PHASE_4A_COMPLETE,,
40,audit_deliverables,审计交付与优先级清单,维护与流程,Critical,EXISTING_PARTIAL,FALSE,,server.py:_build_report,OUTPUT_ONLY,LibreCrawl,None,已有 Fix Priority Checklist（P1→P5）作为 MD 报告的一部分输出。缺少：可导出的结构化任务清单（CSV 含 assignee/deadline/status 字段）、Jira/Trello/Notion 集成。,项目管理集成需要对应平台的 API,FALSE,REMAINING_PARTIAL_REVIEW,,
41,soft_404,Soft 404 与状态码真实性,抓取与索引,High,EXISTING_FULL,TRUE,_adapter_soft_404,extended_checks.py,HTTP_FETCH,LibreCrawl,None,"已检测返回 200 但内容为空/包含 ""not found"" 等短语的软 404。结合 GSC Soft 404 报告可进一步验证。","已检测返回 200 但内容为空/包含 ""not found"" 等短语的软 404。结合 GSC Soft 404 报告可进一步验证。",FALSE,COMPLETE,,
42,sitemap_url_indexability,Sitemap URL 可索引一致性,抓取与索引,High,EXISTING_FULL,TRUE,_adapter_sitemap_indexability,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已实现：sitemap_url_noindex、sitemap_url_3xx、sitemap_contains_canonicalized、sitemap_url_disallowed_in_robots。Sitemap URL 的可索引性交叉验证完整。,已实现：sitemap_url_noindex、sitemap_url_3xx、sitemap_contains_canonicalized、sitemap_url_disallowed_in_robots。Sitemap URL 的可索引性交叉验证完整。,FALSE,COMPLETE,,
43,sitemap_lastmod_accuracy,Sitemap lastmod 准确性,抓取与索引,Medium,EXISTING_PARTIAL,TRUE,check_sitemap_lastmod,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现lastmod格式验证（W3C datetime解析）、未来日期检测、全部同一天模式检测（区分today vs historical）、sitemap数据多路径读取（sitemap_urls/extended_checks）。剩余gap：需要历史对比数据才能检测lastmod不一致（当前缺少跨audit对比）；sitemap lastmod原始数据可用性取决于crawl配置。,合法旧页面可以有很旧的 lastmod；不以时间旧为判定条件,FALSE,PHASE_4A_COMPLETE,,
44,google_selected_canonical,Google 选择的 Canonical,抓取与索引,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC API,GSC API,需要 GSC URL Inspection API 逐页查询 Google-selected canonical 并与 User-declared canonical 对比。对排名下降/不收录页面优先检查。,GSC URL Inspection API 有每日配额限制,FALSE,GSC,,
45,orphan_pages,孤立页面 Orphan Pages,抓取与索引,High,EXISTING_FULL,TRUE,_adapter_orphan_pages,server.py:_build_report + sitemap_fill,STATIC_ANALYSIS,LibreCrawl,None,已通过爬虫内链图 vs Sitemap 交叉比对检测孤岛。含 sitemap_fill 页面贡献的内链数据。GSC/GA4 中的额外 URL 可作为补充数据源。,已通过爬虫内链图 vs Sitemap 交叉比对检测孤岛。含 sitemap_fill 页面贡献的内链数据。GSC/GA4 中的额外 URL 可作为补充数据源。,FALSE,COMPLETE,,
46,js_rendered_content,渲染后内容完整性,JavaScript SEO,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC API or Playwright,External/Manual,需要 JS 渲染引擎（Puppeteer/Playwright）对比 Raw HTML vs Rendered DOM。原项目明确移除了 Playwright 依赖。可通过 GSC URL Inspection 的渲染截图间接验证。,Playwright 依赖巨大且易碎；GSC 渲染截图有限,FALSE,EXTERNAL_DATA_PENDING,,
47,crawlable_a_href_links,可抓取链接 <a href>,JavaScript SEO,High,EXISTING_PARTIAL,TRUE,check_crawlable_links,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现HTML中onclick导航和data-href（div/span/li/button/card）的检测、可抓取anchor与事件only元素比例分析、阈值门控。剩余gap：需要_raw_export中的原始HTML（不是所有export都包含）；regex检测是启发式的——可能遗漏复杂SPA/框架路由器模式（React Router、Vue Router）；modal/accordion/,需要区分交互式组件和实际导航链接；HTML可用性不保证,FALSE,PHASE_4A_COMPLETE,,
48,lazy_load_indexability,Lazy-load 内容可索引,JavaScript SEO,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC API or Playwright,WP Admin/DB,需要对比初始 HTML 与 JS 执行后的 DOM。没有 JS 渲染引擎时无法全自动检测。可检测常见的 Load More / 无限滚动模式（按钮文本、CSS 类名）。,无 JS 渲染引擎时检测覆盖不完整,FALSE,WORDPRESS_PRIVILEGED,,
49,url_normalization,URL 规范化完整性,URL 与重定向,High,EXISTING_PARTIAL,TRUE,check_url_normalization,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检测 4 类 URL 质量问题。缺少：大小写重复、尾部斜杠一致性、index.php/index.html 变体、参数排序一致性、HTTP/HTTPS www/non-www 全量变体验证。,已检测 4 类 URL 质量问题。缺少：大小写重复、尾部斜杠一致性、index.php/index.html 变体、参数排序一致性、HTTP/HTTPS www/non-www 全量变体验证。,FALSE,PHASE_2_COMPLETE,,
50,redirect_target_relevance,重定向目标相关性,URL 与重定向,High,EXISTING_PARTIAL,TRUE,check_redirect_relevance,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已列出重定向链的 Source→Target→Hops。缺少：重定向目标相关性的自动判断（如批量 301 到首页检测、跨语言错误重定向检测）。,目标相关性判断部分需要语义匹配,FALSE,PHASE_2_COMPLETE,,
51,internal_links_to_redirects,站内链接指向重定向 URL,URL 与重定向,Medium,EXISTING_PARTIAL,TRUE,check_internal_redirect_links,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现URL→status_code O(1)查找map、3xx redirect（301/302/307/308）和broken（4xx/5xx）target检测、anchor text记录用于修复建议。剩余gap：依赖crawl中已爬取的target URL（未被爬取的内部链接target无法检测status）；没有redirect chain深度检测（仅检测直接target的status，不,已实现URL→status_code O(1)查找map、3xx redirect（301/302/307/308）和broken（4xx/5xx）target检测、anchor text记录用于修复建议。剩余gap：依赖crawl中已爬取的target URL（未被爬取的内部链接target无法检测status）；没有redirect chain深度检测（仅检测直接target的status，不,FALSE,PHASE_4A_COMPLETE,,
52,keyword_cannibalization,关键词蚕食 Cannibalization,内容与关键词,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC + Semrush,GSC + Semrush,需要 GSC Query→Pages 数据 + Semrush Keyword/URL 数据。可通过 GSC merge 工具的 winners/losers CSV 间接发现，但当前无自动蚕食检测。,人工验证是最终确认步骤,FALSE,GSC_SEMRUSH,,
53,search_intent_match,搜索意图匹配,内容与关键词,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Review,GA4 or Manual,判断落地页类型与 SERP 主流意图匹配需要人工审查目标关键词前 10 结果。无法自动判断信息型/商业型/导航型/交易型意图。,需要人工分析 SERP 结果,TRUE,MANUAL_WORKFLOW,,
54,keyword_page_map,关键词—页面映射表,内容与关键词,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Review,GSC + Semrush,建立核心关键词与目标 URL 的长期映射是策略性工作。可提供数据（GSC Queries×Pages），但映射决策需要人工。,策略性内容规划需要人工,TRUE,MANUAL_WORKFLOW,,
55,content_unique_value,内容独特价值与信息增益,内容质量,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Review,External/Manual,判断内容独特价值需要人工阅读并与竞争页对比。AI-tell 检测（content_audit）可标识明显的 AI 生成模板文本，但最终判断需人工。,内容质量评估需要人工专业判断,TRUE,MANUAL_WORKFLOW,,
56,content_freshness,内容时效与过期信息,内容质量,Medium,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Review,External/Manual,可检测页面中包含的年份字符串（©2020 等），但不能判断规格/认证/MOQ/联系方式等时效信息是否过期。需要人工产品知识。,需要产品和行业知识判断信息有效性,TRUE,MANUAL_WORKFLOW,,
57,trust_eeat_signals,企业实体与信任信息,信任与 E-E-A-T,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Review,External/Manual,可检测 About/Contact/Privacy/Factory 等页面是否存在，但不能判断信息真实性、作者资质、实体一致性。Schema Organization 验证已有基础覆盖。,信任评估需要人工验证企业信息,TRUE,MANUAL_WORKFLOW,,
58,hreflang_indexability,hreflang 可索引一致性,国际化/多语言,High,EXISTING_FULL,TRUE,_adapter_hreflang_indexability,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检查 hreflang 目标 URL 的可索引性（noindex/404/redirect）。双向互指验证完整。,已检查 hreflang 目标 URL 的可索引性（noindex/404/redirect）。双向互指验证完整。,FALSE,COMPLETE,,
59,language_code_match,语言与 hreflang 代码匹配,国际化/多语言,Medium,EXISTING_PARTIAL,TRUE,check_language_hreflang_match,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检查代码格式有效性和 lang 属性一致性。缺少：实际页面内容语言检测（Clicore/LangDetect），机器翻译页的残留原文检测。,需要 NLP 语言检测库,FALSE,PHASE_2_COMPLETE,,
60,multilingual_canonical,多语言 Canonical 策略,国际化/多语言,High,EXISTING_PARTIAL,TRUE,check_multilang_canonical,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现URL路径语言检测（/en/、/de/等）、HTML lang属性检测、hreflang自引用语言检测；跨语言canonical检测（不同语言→WARNING）；同语言区域变体（en-us→en-gb + hreflang cluster）不误报。剩余gap：语言检测依赖URL路径前缀（/en/）启发式——路径段可能不是语言代码（/es/可能为product category）；不处理IP/,已实现URL路径语言检测（/en/、/de/等）、HTML lang属性检测、hreflang自引用语言检测；跨语言canonical检测（不同语言→WARNING）；同语言区域变体（en-us→en-gb + hreflang cluster）不误报。剩余gap：语言检测依赖URL路径前缀（/en/）启发式——路径段可能不是语言代码（/es/可能为product category）；不处理IP/,FALSE,PHASE_4A_COMPLETE,,
