audit_id,rule_id,category,check,priority,scope,impl_status,execution_status,result_status,eligible_count,evaluated_count,coverage_pct,finding_count,data_source,required_source,not_checked_reason,owner,remediation,acceptance_criteria
11,internal_link_distribution,站点架构,内部链接分布,High,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Content/SEO,从相关分类、产品、文章和高权重页面增加上下文内链；使用描述性锚文本。,重点页面有多个相关内链来源且可稳定被抓取；无重要孤岛页。
12,pagination_faceted_nav,站点架构,分页与筛选 (Faceted Navigation),High,RELATIONSHIP,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,分页页通常保持独立可抓取 URL 与 self-canonical；筛选组合按价值决定 index/noindex/canonical/链接控制。,重要分页可被发现；低价值筛选不会大规模索引或制造无限抓取。
13,title_uniqueness,内容与元数据,Title 唯一性与搜索意图,High,PAGE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,LibreCrawl,"LibreCrawl, GSC, Semrush",Data source unavailable: GSC,Content/SEO,为重复/缺失/低 CTR 页面重写 Title；把主关键词和商业属性放在前部。,核心页面 Title 唯一、主题明确，无明显模板重复或严重截断。
14,meta_description,内容与元数据,Meta Description,Medium,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Content/SEO,撰写独特、具体、可转化的描述；突出产品/应用/差异化/CTA。,重点页面 Description 与实际内容一致、无模板重复，CTR 异常页已优化。
15,h1_heading_hierarchy,内容与元数据,H1 与标题层级,Medium,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/Content,每个核心页面设置清晰的主 H1；修复因模板造成的重复/缺失；保持语义层级。,核心页面存在明确主 H1 且与 Title/正文意图一致；无模板性严重重复。
16,thin_content,内容与元数据,薄内容 (Thin / Low-value Content),High,PAGE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,LibreCrawl,"LibreCrawl, GSC",Data source unavailable: GSC,Content/SEO,扩充独特价值；合并高度重叠页面；无价值页面可下线并按情况 301/404。,核心页面具备足够的独特决策信息，不以固定字数作为唯一标准。
17,duplicate_content,内容与元数据,重复/近似重复内容,High,RELATIONSHIP,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Content/SEO,合并主题、重写差异内容、canonical 或 301；清理无价值副本。,关键页面主题边界清晰，无大规模内部重复或错误 canonical。
18,tag_archive_search_indexability,内容与元数据,标签/归档/搜索页处理,Medium,PAGE,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO,无独立价值时 noindex；有价值的聚合页则完善内容、Title、内链并保留索引。,各类归档/搜索页均按既定策略处理，无大量低价值索引。
19,core_web_vitals,技术性能,Core Web Vitals (LCP/CLS/INP),Critical,TEMPLATE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev/Performance,优化 LCP 资源、服务器、JS 主线程、布局稳定性和第三方脚本。,主要模板真实用户数据达到或接近 LCP≤2.5s、INP≤200ms、CLS≤0.1（75百分位）。
20,server_response_ttfb,技术性能,服务器响应时间 (TTFB),High,PAGE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,LibreCrawl,"LibreCrawl, Server Logs",Data source unavailable: Server Logs,Dev/Infra,优化页面缓存、对象缓存、数据库、PHP-FPM、源站配置和 CDN。,核心页面 TTFB 显著下降且多次测试稳定；缓存命中正常。
21,render_blocking_css_js,技术性能,渲染阻塞 CSS/JS,High,TEMPLATE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev,内联必要 Critical CSS；延迟/异步非关键 JS；移除未使用代码和重复库。,关键页面阻塞时间、长任务与未使用资源显著降低。
22,image_optimization,技术性能,图片优化,Medium,TEMPLATE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,LibreCrawl,"LibreCrawl, PageSpeed API",Data source unavailable: PageSpeed API,Dev/Content,转换 WebP/AVIF；输出正确尺寸/srcset；非首屏 lazy-load；首屏 LCP 图优先加载。,无明显超大图片；响应式尺寸合理；首屏主图不被错误 lazy-load。
23,cache_cdn,技术性能,缓存与 CDN,High,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/Infra,配置 HTML 页面缓存策略、静态资源长缓存；排除登录/购物车/表单等动态页面。,匿名核心页面可稳定命中合适缓存；静态资源有长期缓存且功能正常。
24,mobile_usability,移动体验,移动可用性与真实设备体验,High,TEMPLATE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev/UX,修复触控、字体、viewport、溢出、固定元素与表单交互。,主要页面在真实手机可正常阅读/点击/提交，无横向溢出或严重遮挡。
25,https_certificate,安全与 Header,HTTPS 与证书链,Critical,SITE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,1,1,100.0,0,LibreCrawl,LibreCrawl,,Dev/Infra,修复证书链和自动续期；把内部资源全部升级为 https。,证书有效且链完整；核心页面无 Mixed Content；所有 HTTP 正确重定向。
26,hsts_security_headers,安全与 Header,HSTS 与安全头,Medium,SITE,EXISTING_FULL,EXECUTED_FULL,PASS,1,1,100.0,0,LibreCrawl,LibreCrawl,,Dev/Security,分阶段启用；CSP 先 Report-Only；HSTS preload/includeSubDomains 谨慎。,关键安全头符合站点策略且不破坏表单、第三方脚本、支付/嵌入功能。
27,schema_type_coverage,结构化数据,Schema 类型覆盖,Medium,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,按页面类型补充必要 schema；避免为了富结果堆无关类型。,适用页面有正确 schema；无严重错误；与可见内容一致。
28,schema_errors_conflicts,结构化数据,Schema 错误、重复与冲突,Medium,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,保留单一可信输出源；统一 Organization/Product/Breadcrumb 实体。,无严重 schema 冲突、重复或相互矛盾属性。
29,hreflang_basics,国际化 / 多语言,hreflang 基础实现,Medium,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,修正 Missing Return Links、Invalid Language Codes、错误目标和 x-default。,计划索引的语言版本相互正确双向返回，代码与实际语言一致。
30,broken_internal_links,链接分析,站内坏链,High,LINK,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/Content,更新错误链接到最终 URL；无替代内容则删除；必要时对旧 URL 301。,重要页面站内 4xx 链接为 0 或接近 0，无重复制造错误 URL 的模板问题。
31,backlink_overview,链接分析,外部反向链接概览,Medium,LINK,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Semrush API,Semrush API,Data source unavailable: Semrush API,SEO,优先恢复高质量真实链接；仅在明确存在人为违规链接风险时评估 disavow。,核心页面反链变化已记录；不存在需要紧急处理的明确人工违规链接风险。
32,media_sitemap,媒体与富媒体,Image/Video Sitemap,Low,SITE,NEW_AUTO,EXECUTED_FULL,PASS,1,1,100.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,对以图片/视频搜索为重要渠道的网站配置；普通企业站可不单独建立。,若业务依赖图片/视频搜索，则关键媒体可被发现且 sitemap 有效。
33,server_log_analysis,日志与抓取分析,Server Logs 抓取分析,High,SITE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,1,0,0.0,0,Server Logs,Server Logs,Data source unavailable: Server Logs,Dev/SEO,治理高频无效路径、5xx、链式跳转；提升重要页面发现和响应稳定性。,主要抓取热点、异常状态与浪费路径已识别并进入整改计划。
34,gsc_ga4_config,监控与跟踪,Search Console / Analytics 配置,Critical,SITE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,1,0,0.0,0,GSC API,"GSC API, GA4 API",Data source unavailable: GSC API,SEO/Analytics,修复重复 GA4/GTM、错误域名、漏装标签和未验证属性。,核心属性数据连续、无重复 page_view，站点地图和验证状态正常。
35,event_conversion_tracking,监控与跟踪,事件与转化追踪,Medium,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GA4,"GA4, GTM",Data source unavailable: GA4,Analytics/Dev,修复重复触发、漏报、跨域问题；必要时采用 server-side tracking。,关键转化仅触发一次且能在分析/CRM 中准确对应。
36,wp_updates_security,WordPress 专项,核心/主题/插件更新与安全,High,SITE,NEW_MANUAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,WordPress Admin,WordPress Admin,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Security,备份后更新；替换废弃/高风险组件；清理无用插件主题。,生产环境必要组件受支持且更新；无已知高危漏洞长期未处理。
37,seo_plugin_conflicts,WordPress 专项,SEO 插件与主题输出冲突,High,PAGE,EXISTING_PARTIAL,NOT_APPLICABLE,UNKNOWN,0,0,0.0,0,LibreCrawl,LibreCrawl,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/SEO,确定单一 SEO 输出源；关闭主题或重复插件中的相同功能。,每页只有一套有效 canonical/robots/meta/schema 主输出，sitemap 来源清晰。
38,permalink_rewrite,WordPress 专项,Permalink 与 rewrite,Medium,PAGE,EXISTING_PARTIAL,NOT_APPLICABLE,UNKNOWN,0,0,0.0,0,LibreCrawl,LibreCrawl,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/SEO,设置稳定结构；历史 URL 301 到最终 URL；修复 rewrite 规则冲突。,所有内容有稳定规范 URL；旧参数/旧路径正确重定向。
39,xmlrpc_rest_api_exposure,WordPress 专项,XML-RPC / REST API 暴露与滥用,Low,SITE,NEW_AUTO,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,LibreCrawl,LibreCrawl,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Security,不使用 XML-RPC 时限制或禁用；REST API 按最小权限、鉴权和限速保护，不做无脑全禁。,不必要接口受限；必要 REST/API 功能正常且无明显滥用。
40,audit_deliverables,维护与流程,审计交付与优先级清单,Critical,SITE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,1,1,100.0,0,LibreCrawl,LibreCrawl,,SEO/PM,建立整改任务表、负责人、截止时间和复测字段。,所有 P0/P1 问题均有负责人、修复方案、验收标准和完成记录。
41,soft_404,抓取与索引,Soft 404 与状态码真实性,High,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,不存在且无替代内容返回 404/410；有相关替代页时 301；修复错误 200。,错误页状态码与实际内容一致，核心站点无重要 Soft 404。
42,sitemap_url_indexability,抓取与索引,Sitemap URL 可索引一致性,High,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,删除 3xx、4xx、5xx、noindex、非 canonical 与测试 URL。,Sitemap URL 均为 200 + Indexable + Canonical，且不经过重定向。
43,sitemap_lastmod_accuracy,抓取与索引,Sitemap lastmod 准确性,Medium,PAGE,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,修复错误 lastmod 逻辑，避免全站每日自动刷新。,lastmod 与实际重要内容变更基本一致。
44,google_selected_canonical,抓取与索引,Google 选择的 Canonical,High,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC API,GSC API,Data source unavailable: GSC API,SEO/Dev,解决重复内容、内链、sitemap、redirect、canonical 信号冲突。,核心商业页面 Google-selected canonical 与预期 URL 一致。
45,orphan_pages,抓取与索引,孤立页面 Orphan Pages,High,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Content,增加分类、导航、相关文章或上下文内链；无价值页面合并/下线。,所有重要页面至少存在有效可抓取内链入口。
46,js_rendered_content,JavaScript SEO,渲染后内容完整性,High,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC API or Playwright,GSC API or Playwright,Data source unavailable: GSC API or Playwright,Dev/SEO,重要 SEO 内容优先服务端输出；修复异步加载、hydration、JS 错误。,Google 渲染结果包含主要正文、标题、链接和关键 SEO 标签。
47,crawlable_a_href_links,JavaScript SEO,可抓取链接 <a href>,High,PAGE,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,重要站内导航与 CTA 使用标准 <a href='URL'>。,核心产品、分类、博客链接均可被爬虫直接解析。
48,lazy_load_indexability,JavaScript SEO,Lazy-load 内容可索引,High,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC API or Playwright,GSC API or Playwright,Data source unavailable: GSC API or Playwright,Dev,核心 SEO 内容无需点击即可出现在可渲染 DOM；Lazy-load 使用标准方式。,Google 渲染可发现重要文本、产品卡片和链接。
49,url_normalization,URL 与重定向,URL 规范化完整性,High,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,确定唯一 URL 规范并统一 301、canonical、内链、sitemap 与 hreflang。,每个内容只有一个最终规范 URL。
50,redirect_target_relevance,URL 与重定向,重定向目标相关性,High,RELATIONSHIP,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,有对应内容时 301 到最相关 URL；无替代内容返回 404/410。,重要重定向均高度相关，无万能首页跳转。
51,internal_links_to_redirects,URL 与重定向,站内链接指向重定向 URL,Medium,LINK,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Content/Dev,把内部链接直接改到最终 200 URL。,核心页面内部链接不经过无必要跳转。
52,keyword_cannibalization,内容与关键词,关键词蚕食 Cannibalization,High,RELATIONSHIP,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC,"GSC, Semrush",Data source unavailable: GSC,SEO/Content,建立 Keyword-to-URL Map；合并重复主题或重新定义主次意图与内链。,核心商业关键词有明确唯一主落地页，URL 不频繁互换。
53,search_intent_match,内容与关键词,搜索意图匹配,High,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Review,Manual Review,Manual review required: SEO/Content,SEO/Content,调整页面定位、内容结构，或创建更匹配意图的新页。,主要关键词落地页类型与 SERP 意图明显一致。
54,keyword_page_map,内容与关键词,关键词—页面映射表,High,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Review,Manual Review,Manual review required: SEO,SEO,建立 Keyword Map 并定期更新。,所有核心商业词有明确 Target URL，无明显重叠。
55,content_unique_value,内容质量,内容独特价值与信息增益,High,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Review,Manual Review,Manual review required: Content/Product/SEO,Content/Product/SEO,增加材料结构、MOQ、尺寸、阻隔、测试、生产流程、应用限制、案例等一手内容。,核心商业页面包含明显区别于竞品的一手信息与采购价值。
56,content_freshness,内容质量,内容时效与过期信息,Medium,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Review,Manual Review,Manual review required: Content/Product,Content/Product,更新失效信息；只有实质变化才更新发布日期/lastmod。,重要商业信息与公司当前能力一致。
57,trust_eeat_signals,信任与 E-E-A-T,企业实体与信任信息,High,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Review,Manual Review,Manual review required: Content/SEO,Content/SEO,补充真实公司名称、地址、联系方式、工厂能力、证书、团队/审核信息。,核心信任页面完整，企业实体信息跨页面保持一致。
58,hreflang_indexability,国际化 / 多语言,hreflang 可索引一致性,High,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,从 hreflang 移除 noindex/404/redirect URL；修复 canonical 与双向互指。,有效 hreflang URL 均 200、Indexable、self-canonical、双向返回。
59,language_code_match,国际化 / 多语言,语言与 hreflang 代码匹配,Medium,RELATIONSHIP,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Content,修复错误语言/地区代码和跨语言错链。,hreflang 代码与真实内容语言一致，无无效值。
60,multilingual_canonical,国际化 / 多语言,多语言 Canonical 策略,High,RELATIONSHIP,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,计划独立收录的翻译页使用 self-canonical；真正重复内容才规范化。,所有计划独立收录的语言页 self-canonical，且与 hreflang 一致。
61,field_vs_lab_data,技术性能,Field Data 与 Lab Data 分离,High,TEMPLATE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev/SEO,优先修真实用户不达标模板，再用 Lab Data 定位技术原因。,重点模板 CWV 真实用户数据持续改善并达到目标。
62,third_party_script_impact,技术性能,第三方脚本影响,High,TEMPLATE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev/Analytics,延迟非必要脚本、交互后加载、去重统计代码。,非关键第三方脚本不明显阻塞首屏或制造长任务。
63,font_loading_cls,技术性能,字体加载与布局偏移,Medium,TEMPLATE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,PageSpeed API,PageSpeed API,Data source unavailable: PageSpeed API,Dev,预加载关键字体、font-display、设置媒体尺寸、预留动态区域空间。,核心页面 CLS≤0.1 且无明显视觉跳动。
64,wp_cron_tasks,WordPress 专项,WP-Cron 与后台任务,Medium,SITE,NEW_MANUAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,WordPress Admin,"WordPress Admin, Server Logs","Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Infra,清理异常重复任务；必要时使用系统 Cron；降低高频扫描。,不存在明显影响 TTFB 的异常 Cron 或重复任务。
65,database_autoload_bloat,WordPress 专项,数据库与 Autoload 膨胀,Medium,SITE,NEW_MANUAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,WordPress Admin,"WordPress Admin, Database","Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/DBA,备份后清理无效 autoload/transients 和废弃插件数据。,无明显异常 autoload 和慢查询，数据库大小与业务规模匹配。
66,cache_plugin_cdn_synergy,WordPress 专项,页面缓存/Object Cache/CDN 协同,High,SITE,EXISTING_PARTIAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,LibreCrawl,LibreCrawl,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Infra,明确缓存层级；动态页合理排除；避免多个插件重复做同一缓存。,匿名核心页面稳定命中缓存，登录/表单/购物车等动态功能正常。
67,staging_site_indexed,WordPress 专项,测试站/Staging 被索引,Critical,SITE,NEW_AUTO,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,LibreCrawl,LibreCrawl,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/SEO,使用密码认证/访问控制；必要时 noindex；移除外部和站内链接。,测试环境不可被公开搜索引擎索引。
68,admin_2fa,WordPress 专项,管理员账号与 2FA,High,SITE,NEW_MANUAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,WordPress Admin,WordPress Admin,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Security,删除不用管理员；启用 2FA；限制 wp-login 暴力破解。,所有高权限账号使用 2FA，异常登录受限。
69,abandoned_plugins_themes,WordPress 专项,废弃插件与主题,High,SITE,NEW_MANUAL,NOT_APPLICABLE,UNKNOWN,1,0,0.0,0,WordPress Admin,WordPress Admin,"Not applicable: WordPress-specific rule, site profile is 'generic'",Dev/Security,删除不用组件；替换停止维护插件；保留必要默认主题按策略。,生产环境仅保留必要且持续维护组件。
70,form_link_accessibility,用户体验 / Accessibility,表单与链接可访问性,Medium,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/UX,补充 label/aria-label、描述性链接文本；允许缩放；修复空链接。,关键询盘表单、菜单和 CTA 无严重可访问性问题。
71,form_e2e_test,转化与功能,询盘表单端到端测试,Critical,PAGE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Manual Testing,Manual Testing,Manual review required: Dev/Marketing,Dev/Marketing,修复验证、SMTP、接口、垃圾邮件过滤和事件重复/漏触发。,PC/移动提交成功；邮箱/CRM收到；GA4 事件只触发一次。
72,manual_actions_security,监控与跟踪,Manual Actions 与 Security Issues,Critical,SITE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,1,0,0.0,0,GSC_UI,GSC_UI,Manual review required: SEO/Security,SEO/Security,按 Google 要求清除问题并提交复审。,GSC 无 Manual Action 和 Security Issue。
73,seo_change_log,监控与跟踪,SEO 修改日志,High,SITE,NEW_MANUAL,NOT_CHECKED,UNKNOWN,1,0,0.0,0,Manual Process,Manual Process,Manual review required: SEO/PM,SEO/PM,建立 Change Log，记录 URL、日期、负责人、变更前后和回滚方案。,重大 SEO 变更可追溯到具体时间与页面。
74,regression_test,监控与跟踪,SEO 上线前后回归测试,High,RELATIONSHIP,NEW_AUTO,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,建立发布 Checklist；重大更新后立即复抓。,上线未新增关键 Indexability、Redirect、Metadata 或 Schema 错误。
75,device_country_ranking,排名与竞争,设备/国家排名拆分,High,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC,"GSC, Semrush",Data source unavailable: GSC,SEO,建立 US/UK/DE 等核心市场和 Mobile/Desktop 基准。,核心关键词可按国家、设备和 URL 持续追踪。
76,declining_page_keyword_map,排名与竞争,下降页面与下降关键词一一映射,High,PAGE,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,GSC API,GSC API,Data source unavailable: GSC API,SEO,建立页面级 Query 变化表，优先处理高 Impression 且排名 4-20 下滑词。,每个 P0/P1 下降页记录主要下降词、位置、点击、展示和 CTR 变化。
77,lost_backlinks,链接分析,重要页面 Lost Backlinks,Medium,LINK,NEW_EXTERNAL_DATA,NOT_CHECKED,UNKNOWN,0,0,0.0,0,Semrush API,Semrush API,Data source unavailable: Semrush API,SEO/PR,恢复可恢复链接；通过内容资产和行业合作获取真实引用。,核心下降页面的外链变化原因已确认。
78,schema_visible_content_match,结构化数据,Schema 与可见内容一致,Medium,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,删除隐藏/虚假/冲突字段；保持单一可信数据源。,Schema 无严重错误，关键属性与页面可见内容一致。
79,image_alt_link_semantics,媒体与富媒体,图片尺寸/ALT/链接语义综合检查,Medium,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Content/Dev,内容图片写描述性 ALT；装饰图 alt='';压缩并设置 width/height/srcset。,核心图片无过大资源、布局偏移和无意义/关键词堆砌 ALT。
