独立站 / WordPress 技术 SEO Master Audit Checklist（80项）,,,,,,,,,,,,,
适用于 WordPress 为主的独立站，也可用于普通企业站、多语言站、B2B 制造业站。已合并原40项+新增40项，并修正过时/易误用规则。,,,,,,,,,,,,,
,,,,,,,,,,,,,
id,category,check,description,priority,detection_method,tools,remediation,owner,status,acceptance_criteria,finding_type,seo_impact,notes
11,站点架构,内部链接分布,识别孤岛页、内链过少、锚文本弱、重要页链接权重不足。,High,统计 Inlinks、Unique Inlinks、Link Score、Anchor Text；与 GSC 落地页对比。,"Screaming Frog, GSC",从相关分类、产品、文章和高权重页面增加上下文内链；使用描述性锚文本。,Content/SEO,Open,重点页面有多个相关内链来源且可稳定被抓取；无重要孤岛页。,Error,Crawling/Ranking,不建议用固定“≥3”作为唯一验收标准，应看来源质量和上下文相关性。
12,站点架构,分页与筛选 (Faceted Navigation),防止分页与筛选产生大量重复、低价值、无限可抓取 URL。,High,识别分页/参数组合；检查 canonical、indexability、内链与日志。,"Screaming Frog, Server Logs",分页页通常保持独立可抓取 URL 与 self-canonical；筛选组合按价值决定 index/noindex/canonical/链接控制。,Dev/SEO,Open,重要分页可被发现；低价值筛选不会大规模索引或制造无限抓取。,Error,Crawling/Indexing,不要把正常分页一律 canonical 到第一页。
13,内容与元数据,Title 唯一性与搜索意图,每个核心页面 Title 应独特、准确表达页面主题，并覆盖主要搜索意图。,High,抓取 Missing/Duplicate/Over Pixels；结合 GSC CTR 与目标关键词人工评估。,"Screaming Frog, GSC, Semrush",为重复/缺失/低 CTR 页面重写 Title；把主关键词和商业属性放在前部。,Content/SEO,Open,核心页面 Title 唯一、主题明确，无明显模板重复或严重截断。,Opportunity,CTR/Ranking,长度不是绝对排名因子，优先保证语义与点击吸引力。
14,内容与元数据,Meta Description,检查描述缺失、重复、占位符、与页面不匹配及低 CTR 页面。,Medium,抓取 Description；结合 GSC CTR、SERP 展示人工抽查。,"Screaming Frog, GSC",撰写独特、具体、可转化的描述；突出产品/应用/差异化/CTA。,Content/SEO,Open,重点页面 Description 与实际内容一致、无模板重复，CTR 异常页已优化。,Opportunity,CTR,Google 可能重写 Description，验收以页面质量和 CTR 改善为主。
15,内容与元数据,H1 与标题层级,检查 H1 缺失、模板重复、页面主题不清及 H2/H3 层级混乱。,Medium,抓取 H1/H2；人工检查模板与正文层级。,"Screaming Frog, 手工检查",每个核心页面设置清晰的主 H1；修复因模板造成的重复/缺失；保持语义层级。,Dev/Content,Open,核心页面存在明确主 H1 且与 Title/正文意图一致；无模板性严重重复。,Error,Ranking/Accessibility,SEO 不要求技术上绝对只有一个 H1，但建议保持清晰主标题。
16,内容与元数据,薄内容 (Thin / Low-value Content),识别缺少实质采购信息、搜索价值低或仅模板拼接的页面。,High,结合 Word Count、Near Duplicate、GSC 展示/点击与人工内容评估。,"Screaming Frog, GSC, Manual",扩充独特价值；合并高度重叠页面；无价值页面可下线并按情况 301/404。,Content/SEO,Open,核心页面具备足够的独特决策信息，不以固定字数作为唯一标准。,Error,Ranking/Indexing,B2B站重点补充材料、MOQ、结构、测试、应用条件、案例。
17,内容与元数据,重复/近似重复内容,检测站内模板重复、同主题竞争、参数/语言副本与外部复制。,High,抓取 Exact/Near Duplicates；抽查 SERP 与页面文本。,"Screaming Frog, Sitebulb, Copyscape, Manual",合并主题、重写差异内容、canonical 或 301；清理无价值副本。,Content/SEO,Open,关键页面主题边界清晰，无大规模内部重复或错误 canonical。,Error,Ranking/Indexing,优先处理造成关键词蚕食的重复。
18,内容与元数据,标签/归档/搜索页处理,确保标签、作者、日期归档、站内搜索等页面符合明确索引策略。,Medium,抓取 URL 模式与 meta robots；抽查是否有独立搜索价值。,"Screaming Frog, 手工检查",无独立价值时 noindex；有价值的聚合页则完善内容、Title、内链并保留索引。,SEO,Open,各类归档/搜索页均按既定策略处理，无大量低价值索引。,Warning,Indexing,不要一刀切 noindex 所有分类页。
19,技术性能,Core Web Vitals (LCP/CLS/INP),同时用真实用户 Field Data 与 Lab Data 判断核心页面/模板的 CWV。,Critical,PageSpeed Insights / CrUX 查看真实用户数据；Lighthouse 定位实验室问题。,"PageSpeed Insights, CrUX, Lighthouse",优化 LCP 资源、服务器、JS 主线程、布局稳定性和第三方脚本。,Dev/Performance,Open,主要模板真实用户数据达到或接近 LCP≤2.5s、INP≤200ms、CLS≤0.1（75百分位）。,Error,Performance/Ranking,低流量 URL 可能只能参考 origin 级 Field Data。
20,技术性能,服务器响应时间 (TTFB),检查源站、数据库、PHP、缓存和 CDN 导致的高 TTFB。,High,多地区测 TTFB；检查匿名缓存命中；结合服务器慢日志。,"WebPageTest, GTmetrix, curl, Server Profiling",优化页面缓存、对象缓存、数据库、PHP-FPM、源站配置和 CDN。,Dev/Infra,Open,核心页面 TTFB 显著下降且多次测试稳定；缓存命中正常。,Warning,Performance/Crawling,不同地区与缓存状态分别测试。
21,技术性能,渲染阻塞 CSS/JS,识别阻塞首屏的 CSS/JS、未使用代码与长任务。,High,Lighthouse Opportunities；DevTools Coverage/Performance/Network。,"Lighthouse, PageSpeed Insights, Chrome DevTools",内联必要 Critical CSS；延迟/异步非关键 JS；移除未使用代码和重复库。,Dev,Open,关键页面阻塞时间、长任务与未使用资源显著降低。,Warning,Performance,Elementor/主题常见重复 CSS/JS 需按模板优化。
22,技术性能,图片优化,检查图片尺寸、格式、压缩、srcset、lazy-load 与首屏 LCP 图。,Medium,Screaming Frog Images + PSI diagnostics + 实际网络传输大小。,"Screaming Frog, PageSpeed Insights",转换 WebP/AVIF；输出正确尺寸/srcset；非首屏 lazy-load；首屏 LCP 图优先加载。,Dev/Content,Open,无明显超大图片；响应式尺寸合理；首屏主图不被错误 lazy-load。,Warning,Performance/UX,图片文件大小与显示尺寸都要检查。
23,技术性能,缓存与 CDN,确认页面缓存、静态资源缓存、Browser Cache 与 CDN 配置合理。,High,检查 Cache-Control、Age、CF-Cache-Status 或其他 CDN 标头。,"curl -I, CDN 仪表板, 浏览器 DevTools",配置 HTML 页面缓存策略、静态资源长缓存；排除登录/购物车/表单等动态页面。,Dev/Infra,Open,匿名核心页面可稳定命中合适缓存；静态资源有长期缓存且功能正常。,Error,Performance,避免 WordPress 缓存插件与 CDN 重复/冲突。
24,移动体验,移动可用性与真实设备体验,检查响应式布局、触控目标、字体、Viewport、横向滚动、粘性组件遮挡。,High,Lighthouse Mobile、Chrome Device Mode、真实手机测试。,"Lighthouse, PageSpeed Insights, Chrome DevTools, 实机",修复触控、字体、viewport、溢出、固定元素与表单交互。,Dev/UX,Open,主要页面在真实手机可正常阅读/点击/提交，无横向溢出或严重遮挡。,Error,UX/Conversion,Google Mobile-Friendly Test 已退役，不再作为工具。
25,安全与 Header,HTTPS 与证书链,全站 HTTPS、证书有效、自动续期、无混合内容。,Critical,浏览器安全面板、SSL 检测、抓取 Insecure Content。,"SSL Labs, 浏览器, Screaming Frog",修复证书链和自动续期；把内部资源全部升级为 https。,Dev/Infra,Open,证书有效且链完整；核心页面无 Mixed Content；所有 HTTP 正确重定向。,Error,Security/UX,安全问题可能影响浏览器信任与转化。
26,安全与 Header,HSTS 与安全头,检查 HSTS、X-Frame-Options/frame-ancestors、Referrer-Policy、Permissions-Policy、CSP 等。,Medium,检查响应头并测试功能兼容性。,"curl -I, securityheaders.com, DevTools",分阶段启用；CSP 先 Report-Only；HSTS preload/includeSubDomains 谨慎。,Dev/Security,Open,关键安全头符合站点策略且不破坏表单、第三方脚本、支付/嵌入功能。,Opportunity,Security,不要未经测试直接上严格 CSP 或 HSTS preload。
27,结构化数据,Schema 类型覆盖,检查 Organization、Breadcrumb、Article、Product、FAQ 等是否只用于真正适合的页面。,Medium,Rich Results Test、页面 JSON-LD、GSC Enhancements。,"Rich Results Test, GSC, Screaming Frog",按页面类型补充必要 schema；避免为了富结果堆无关类型。,SEO/Dev,Open,适用页面有正确 schema；无严重错误；与可见内容一致。,Opportunity,CTR/Entity,FAQ/HowTo 等富结果资格变化时仍可保留语义价值。
28,结构化数据,Schema 错误、重复与冲突,避免主题、SEO 插件、Schema 插件重复输出冲突实体。,Medium,抓取 JSON-LD 数量；Rich Results Test；人工比对实体 ID。,"Rich Results Test, Screaming Frog",保留单一可信输出源；统一 Organization/Product/Breadcrumb 实体。,Dev/SEO,Open,无严重 schema 冲突、重复或相互矛盾属性。,Error,CTR/Entity,WordPress 多插件同时输出是常见问题。
29,国际化 / 多语言,hreflang 基础实现,检查 hreflang 是否使用有效语言/地区代码、包含自引用并双向返回。,Medium,Screaming Frog Hreflang 报告；查看 head 或 hreflang sitemap。,"Screaming Frog, 手工检查",修正 Missing Return Links、Invalid Language Codes、错误目标和 x-default。,SEO/Dev,Open,计划索引的语言版本相互正确双向返回，代码与实际语言一致。,Error,International/Indexing,Rich Results Test 不是 hreflang 验证工具。
30,链接分析,站内坏链,检测页面正文、导航、图片、按钮、CSS/JS 资源中的内部 4xx。,High,爬虫扫描 + 4xx Inlinks 导出。,"Screaming Frog, Server Logs",更新错误链接到最终 URL；无替代内容则删除；必要时对旧 URL 301。,Dev/Content,Open,重要页面站内 4xx 链接为 0 或接近 0，无重复制造错误 URL 的模板问题。,Error,Crawling/UX,优先修复导航、模板和高 Inlinks 错误。
31,链接分析,外部反向链接概览,了解高价值、异常和丢失反链，判断是否影响核心页面排名。,Medium,Semrush Backlink Analytics / GSC Links；按页面与 referring domain 分析。,"Semrush, Google Search Console",优先恢复高质量真实链接；仅在明确存在人为违规链接风险时评估 disavow。,SEO,Open,核心页面反链变化已记录；不存在需要紧急处理的明确人工违规链接风险。,Opportunity,Ranking/Authority,不要因为普通垃圾链接存在就默认 Disavow。
32,媒体与富媒体,Image/Video Sitemap,评估重要图片/视频是否需要独立或扩展 sitemap 声明。,Low,检查现有 sitemap 是否包含媒体条目及视频详情。,"Screaming Frog, 手工检查",对以图片/视频搜索为重要渠道的网站配置；普通企业站可不单独建立。,SEO/Dev,Open,若业务依赖图片/视频搜索，则关键媒体可被发现且 sitemap 有效。,Opportunity,Discovery,按业务需求启用，不是所有站必做。
33,日志与抓取分析,Server Logs 抓取分析,分析 Googlebot/Bingbot 实际抓取频率、状态码、热点和浪费路径。,High,提取日志中的搜索引擎 User-Agent/IP，按 URL/状态/频率统计。,"Server Logs, Screaming Frog Log Analyzer, ELK",治理高频无效路径、5xx、链式跳转；提升重要页面发现和响应稳定性。,Dev/SEO,Open,主要抓取热点、异常状态与浪费路径已识别并进入整改计划。,Opportunity,Crawling,共享主机可能拿不到完整日志，可降为 N/A。
34,监控与跟踪,Search Console / Analytics 配置,确认 GSC、GA4、Bing Webmaster 数据完整、域名正确、无重复追踪。,Critical,检查属性、验证方式、数据流、站点地图和实时数据。,"GSC, GA4, Bing Webmaster, Tag Assistant",修复重复 GA4/GTM、错误域名、漏装标签和未验证属性。,SEO/Analytics,Open,核心属性数据连续、无重复 page_view，站点地图和验证状态正常。,Error,Measurement,迁移域名/主题后必须复查。
35,监控与跟踪,事件与转化追踪,核查表单、WhatsApp、电话、邮件、购买/询价等关键转化事件。,Medium,真实触发事件，对比前端、GA4、CRM/邮箱/后台记录。,"GA4, GTM, Tag Assistant, CRM",修复重复触发、漏报、跨域问题；必要时采用 server-side tracking。,Analytics/Dev,Open,关键转化仅触发一次且能在分析/CRM 中准确对应。,Error,Conversion,SEO 流量价值判断必须依赖可靠转化数据。
36,WordPress 专项,核心/主题/插件更新与安全,检查 WordPress 核心、PHP、主题和插件版本、漏洞和维护状态。,High,WP 后台、WP-CLI、主机版本与安全公告。,"WP-CLI, WP Admin",备份后更新；替换废弃/高风险组件；清理无用插件主题。,Dev/Security,Open,生产环境必要组件受支持且更新；无已知高危漏洞长期未处理。,Error,Security/Maintenance,更新前使用 staging 回归测试。
37,WordPress 专项,SEO 插件与主题输出冲突,检测多个插件/主题重复输出 Title、meta robots、canonical、schema、sitemap。,High,检查源码 head；比较 sitemap 来源与插件配置。,"Screaming Frog, DevTools, WP Admin",确定单一 SEO 输出源；关闭主题或重复插件中的相同功能。,Dev/SEO,Open,每页只有一套有效 canonical/robots/meta/schema 主输出，sitemap 来源清晰。,Error,Indexing,常见于 Yoast/Rank Math/主题 Schema/缓存插件组合。
38,WordPress 专项,Permalink 与 rewrite,确认固定链接稳定、语义清晰，无 ?p=、重复路径或 rewrite 冲突。,Medium,检查 WP Permalink、旧 URL、状态码和 canonical。,"WP Admin, curl, Screaming Frog",设置稳定结构；历史 URL 301 到最终 URL；修复 rewrite 规则冲突。,Dev/SEO,Open,所有内容有稳定规范 URL；旧参数/旧路径正确重定向。,Warning,Indexing,不要在已有成熟站点无必要大改 URL 结构。
39,WordPress 专项,XML-RPC / REST API 暴露与滥用,确认 XML-RPC、REST API、登录接口仅开放业务需要的能力，并有防滥用措施。,Low,检查端点行为、WAF/日志、插件依赖。,"curl, WP-CLI, Server Logs, WAF",不使用 XML-RPC 时限制或禁用；REST API 按最小权限、鉴权和限速保护，不做无脑全禁。,Dev/Security,Open,不必要接口受限；必要 REST/API 功能正常且无明显滥用。,Warning,Security,Gutenberg、插件和第三方集成可能依赖 REST API。
40,维护与流程,审计交付与优先级清单,把发现的问题转化为可执行任务，明确负责人、P0/P1/P2、验收与复测。,Critical,汇总本清单与抓取/GSC/PSI/日志结果。,"Excel/CSV, Jira, Trello, Notion",建立整改任务表、负责人、截止时间和复测字段。,SEO/PM,Open,所有 P0/P1 问题均有负责人、修复方案、验收标准和完成记录。,Opportunity,Maintenance,建议保留审计快照用于前后对比。
41,抓取与索引,Soft 404 与状态码真实性,检测页面显示空内容、错误或“未找到”但服务器仍返回 200，以及错误的状态码策略。,High,抓取 Response Code；人工核对页面可见内容；查看 GSC Soft 404。,"Screaming Frog, curl, GSC URL Inspection",不存在且无替代内容返回 404/410；有相关替代页时 301；修复错误 200。,SEO/Dev,Open,错误页状态码与实际内容一致，核心站点无重要 Soft 404。,Error,Indexing/Crawling,搜索页、空分类、删除产品、错误语言 URL 常见。
42,抓取与索引,Sitemap URL 可索引一致性,确保 Sitemap 只提交最终可索引的规范 URL。,High,将 Sitemap URL 与 Status、Indexability、Canonical、Directives 交叉比对。,"Screaming Frog, GSC",删除 3xx、4xx、5xx、noindex、非 canonical 与测试 URL。,SEO/Dev,Open,Sitemap URL 均为 200 + Indexable + Canonical，且不经过重定向。,Error,Indexing,适合作为每月自动审计项。
43,抓取与索引,Sitemap lastmod 准确性,确认 lastmod 只在正文、结构化数据、重要链接等发生实质变化时更新。,Medium,抽查 sitemap lastmod 与 CMS 实际修改记录。,"浏览器, Screaming Frog, WP SEO Plugin",修复错误 lastmod 逻辑，避免全站每日自动刷新。,Dev/SEO,Open,lastmod 与实际重要内容变更基本一致。,Warning,Crawling,版权年份变化不应导致所有 URL lastmod 更新。
44,抓取与索引,Google 选择的 Canonical,检查 Google-selected canonical 是否与 User-declared canonical 一致。,High,GSC URL Inspection 抽查核心页和排名下降页。,Google Search Console,解决重复内容、内链、sitemap、redirect、canonical 信号冲突。,SEO/Dev,Open,核心商业页面 Google-selected canonical 与预期 URL 一致。,Error,Indexing/Ranking,排名下降或不收录时优先检查。
45,抓取与索引,孤立页面 Orphan Pages,发现 GSC/GA4/Sitemap 存在但正常爬虫无法通过站内链接发现的页面。,High,交叉比对 Crawl、Sitemap、GSC、GA4 URL 集合。,"Screaming Frog, GSC, GA4",增加分类、导航、相关文章或上下文内链；无价值页面合并/下线。,SEO/Content,Open,所有重要页面至少存在有效可抓取内链入口。,Error,Crawling/Ranking,历史产品页与博客常见。
46,JavaScript SEO,渲染后内容完整性,检查主要正文、H1、产品信息、内链、canonical、robots 是否依赖 JS 后才出现或渲染失败。,High,对比 Raw HTML、Rendered HTML 与 GSC URL Inspection 渲染结果。,"Screaming Frog JS Rendering, GSC, Chrome DevTools",重要 SEO 内容优先服务端输出；修复异步加载、hydration、JS 错误。,Dev/SEO,Open,Google 渲染结果包含主要正文、标题、链接和关键 SEO 标签。,Error,Crawling/Indexing,Elementor、React/Next、第三方建站都应抽查。
47,JavaScript SEO,可抓取链接 <a href>,检查按钮、菜单、卡片是否只有 onclick/JS 导航而没有标准 a href。,High,查看源码/Rendered HTML；抓取 Outlinks。,"Screaming Frog, Chrome DevTools",重要站内导航与 CTA 使用标准 <a href='URL'>。,Dev/SEO,Open,核心产品、分类、博客链接均可被爬虫直接解析。,Error,Crawling/Ranking,Mega Menu、Elementor 卡片和 JS 组件重点检查。
48,JavaScript SEO,Lazy-load 内容可索引,检查内容是否必须滚动、点击、展开或 Load More 后才进入 DOM。,High,关闭交互查看 Rendered HTML；GSC 渲染；模拟无用户操作抓取。,"Chrome DevTools, GSC, Screaming Frog",核心 SEO 内容无需点击即可出现在可渲染 DOM；Lazy-load 使用标准方式。,Dev,Open,Google 渲染可发现重要文本、产品卡片和链接。,Error,Indexing/Crawling,不要让 Load More 成为唯一发现路径。
49,URL 与重定向,URL 规范化完整性,检查大小写、尾斜杠、index.php/index.html、HTTP、www、参数等重复版本。,High,组合访问 URL 变体；抓取 canonical 与 redirect。,"Screaming Frog, curl",确定唯一 URL 规范并统一 301、canonical、内链、sitemap 与 hreflang。,Dev/SEO,Open,每个内容只有一个最终规范 URL。,Error,Indexing,迁移站和旧站尤其常见。
50,URL 与重定向,重定向目标相关性,检查旧 URL 是否被批量跳到首页、无关分类或错误语言页。,High,导出所有 3xx，人工比对 Source/Target 主题。,Screaming Frog,有对应内容时 301 到最相关 URL；无替代内容返回 404/410。,SEO/Dev,Open,重要重定向均高度相关，无万能首页跳转。,Error,Ranking/Indexing,错误目标可能被视为 Soft 404。
51,URL 与重定向,站内链接指向重定向 URL,识别内部仍指向旧 301/302 地址的链接。,Medium,Bulk Export → Redirection Inlinks。,Screaming Frog,把内部链接直接改到最终 200 URL。,Content/Dev,Open,核心页面内部链接不经过无必要跳转。,Warning,Crawling/Performance,大型模板问题应批量修复。
52,内容与关键词,关键词蚕食 Cannibalization,检测多个页面竞争同一关键词，导致排名 URL 切换、CTR 和权重分散。,High,GSC Query→Pages；Semrush Keyword/URL；比较 Title/H1 与搜索意图。,"GSC, Semrush",建立 Keyword-to-URL Map；合并重复主题或重新定义主次意图与内链。,SEO/Content,Open,核心商业关键词有明确唯一主落地页，URL 不频繁互换。,Error,Ranking,排名下降诊断中的关键项目。
53,内容与关键词,搜索意图匹配,判断落地页类型与当前 SERP 主流意图是否匹配。,High,人工检查目标关键词前 10 结果类型、内容结构、商业/信息意图。,"Google Search, Semrush",调整页面定位、内容结构，或创建更匹配意图的新页。,SEO/Content,Open,主要关键词落地页类型与 SERP 意图明显一致。,Error,Ranking,避免用博客抢 Manufacturer/Supplier 等商业词。
54,内容与关键词,关键词—页面映射表,建立核心关键词与唯一目标 URL、意图、主次关键词的长期映射。,High,汇总 GSC、Semrush、URL、Title、H1 与业务目标。,"GSC, Semrush, Excel",建立 Keyword Map 并定期更新。,SEO,Open,所有核心商业词有明确 Target URL，无明显重叠。,Opportunity,Ranking/Maintenance,可作为内容规划与改版验收基础。
55,内容质量,内容独特价值与信息增益,检查是否仅有行业通用/AI模板描述，缺少真实制造与采购决策信息。,High,人工抽查重点页并与 SERP 竞争页比较。,"Manual, Semrush",增加材料结构、MOQ、尺寸、阻隔、测试、生产流程、应用限制、案例等一手内容。,Content/Product/SEO,Open,核心商业页面包含明显区别于竞品的一手信息与采购价值。,Error,Ranking/Conversion,B2B制造业重点。
56,内容质量,内容时效与过期信息,检查年份、认证、规格、MOQ、交期、联系方式、设备能力等是否过期。,Medium,人工抽查高流量与高商业价值页。,"Manual, GSC",更新失效信息；只有实质变化才更新发布日期/lastmod。,Content/Product,Open,重要商业信息与公司当前能力一致。,Warning,Ranking/Conversion,避免为了SEO机械修改日期。
57,信任与 E-E-A-T,企业实体与信任信息,检查 About、Contact、Factory、Certifications、Privacy、Terms、作者/审核者等真实性与一致性。,High,全站人工审核 + Schema/NAP 对比。,"Manual, Screaming Frog, Rich Results Test",补充真实公司名称、地址、联系方式、工厂能力、证书、团队/审核信息。,Content/SEO,Open,核心信任页面完整，企业实体信息跨页面保持一致。,Opportunity,Trust/Conversion,B2B外贸站优先级高。
58,国际化 / 多语言,hreflang 可索引一致性,确保 hreflang 目标均 200、可索引、canonical 正确并互相返回。,High,检查 Noindex Return Links、Non-Canonical Return Links、Missing Return Links。,Screaming Frog,从 hreflang 移除 noindex/404/redirect URL；修复 canonical 与双向互指。,SEO/Dev,Open,有效 hreflang URL 均 200、Indexable、self-canonical、双向返回。,Error,International/Indexing,未完成语言页面应暂时移除 hreflang。
59,国际化 / 多语言,语言与 hreflang 代码匹配,检查 en/de/es/ru/id 等代码与实际页面语言、地区是否一致，x-default 是否合理。,Medium,抓取 hreflang 并人工抽样页面语言。,"Screaming Frog, Manual",修复错误语言/地区代码和跨语言错链。,SEO/Content,Open,hreflang 代码与真实内容语言一致，无无效值。,Error,International,机器翻译页也应检查残留英文与语言混杂。
60,国际化 / 多语言,多语言 Canonical 策略,检查不同语言页面是否错误 canonical 到英文或其他语言。,High,按语言目录过滤 Canonical；与 hreflang 交叉分析。,Screaming Frog,计划独立收录的翻译页使用 self-canonical；真正重复内容才规范化。,SEO/Dev,Open,所有计划独立收录的语言页 self-canonical，且与 hreflang 一致。,Error,International/Indexing,典型高风险问题。
61,技术性能,Field Data 与 Lab Data 分离,避免只看 Lighthouse 分数，必须区分真实用户 CrUX 与实验室诊断。,High,PSI 同时查看 Field Data、Diagnostics；按模板/URL 分组。,"PageSpeed Insights, CrUX, Lighthouse",优先修真实用户不达标模板，再用 Lab Data 定位技术原因。,Dev/SEO,Open,重点模板 CWV 真实用户数据持续改善并达到目标。,Warning,Performance/Ranking,排名分析不要把单次 Lighthouse 分数直接等同排名因果。
62,技术性能,第三方脚本影响,量化 GTM、GA4、聊天、广告、热图、OKKI、reCAPTCHA 等第三方脚本成本。,High,查看 PSI Third-party、DevTools Performance/Network/Long Tasks。,"PageSpeed Insights, Chrome DevTools",延迟非必要脚本、交互后加载、去重统计代码。,Dev/Analytics,Open,非关键第三方脚本不明显阻塞首屏或制造长任务。,Warning,Performance/Conversion,外贸站常见性能瓶颈。
63,技术性能,字体加载与布局偏移,检查 Web Font、FOIT/FOUT、未设尺寸媒体、Banner/Cookie 组件导致 CLS。,Medium,Lighthouse CLS diagnostics、Layout Shift Regions。,"PageSpeed Insights, Chrome DevTools",预加载关键字体、font-display、设置媒体尺寸、预留动态区域空间。,Dev,Open,核心页面 CLS≤0.1 且无明显视觉跳动。,Warning,Performance/UX,移动端重点。
