id,category,check,priority,impl_status,current_check_name,current_module,gap_description,new_module,target_severity,data_source,external_dependency,detection_method,effort_level,cannot_auto_reason
17,内容与元数据,重复/近似重复内容,High,EXISTING_PARTIAL,boilerplate_ratio (5-word shingle),content_audit.py,已通过 5-词 shingle 跨页比较计算样板比例。缺少：全文 Exact/Near Duplicate 检测、关键词蚕食与重复内容的关联分析、外部抄袭检测。,checks/content_metadata.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,全文字段级重复检测需要更多计算资源
18,内容与元数据,标签/归档/搜索页处理,Medium,EXISTING_PARTIAL,check_archive_search_indexability,checks/phase4a_rules.py,已实现URL模式检测（/tag/、/category/、/author/、/search/等）、meta robots检查、策略配置（auto/noindex/index）。剩余gap：分类页面类型判断依赖URL路径启发式，非CMS特定（/category/可能被路由器使用），用户策略仍需手动配置INDEXATION_POLICY_*。无外部HTTP请求，仅使用crawl数据。,,Warning,LibreCrawl,None,STATIC_ANALYSIS,LOW,
19,技术性能,Core Web Vitals (LCP/CLS/INP),Critical,EXISTING_PARTIAL,PSI field_data_cwv,server.py:librecrawl_pagespeed_*,PSI 工具已可用（3 个工具：单 URL/批量/全站）。但未接入 chunked audit 的 finalize 流水线，报告不包含 CWV 章节，不自动触发全站 PSI。,checks/technical_performance.py,Error,PageSpeed API,PageSpeed API key,EXTERNAL_API,MEDIUM,需要用户提供 API key；低流量 URL 可能只有 origin 级 Field Data
20,技术性能,服务器响应时间 (TTFB),High,EXISTING_PARTIAL,response_time_ms,server.py + libreclient.py,已收集每页 response_time_ms（含 p95 延迟 AIMD 调优）。缺少：TTFB 专项测量（response_time_ms 是总响应时间）、按地理区域测试、服务器慢日志关联分析。,checks/technical_performance.py,Warning,LibreCrawl + Server Logs,Server Logs,STATIC_ANALYSIS + EXTERNAL_API,MEDIUM,多地区 TTFB 测试需要外部监测工具
21,技术性能,渲染阻塞 CSS/JS,High,NEW_EXTERNAL_DATA,None,无,PageSpeed Insights 提供 Render-Blocking Resources 审计。需将 PSI 的 renderBlockingResources 数据接入报告并按模板聚合。,checks/technical_performance.py,Warning,PageSpeed API,PageSpeed API key,EXTERNAL_API,LOW,
22,技术性能,图片优化,Medium,EXISTING_PARTIAL,lazy_load + srcset + image_dimensions + next_gen_image_format + missing_alt,extended_checks.py + server.py,已检查 lazy-load/sizes/srcset/维度/格式/ALT。缺少：PSI 的 Properly Size Images 和 Efficiently Encode Images 机会项整合、实际传输大小 vs 显示尺寸对比。,checks/technical_performance.py,Warning,LibreCrawl + PageSpeed API,PageSpeed API key,STATIC_ANALYSIS + EXTERNAL_API,LOW,
23,技术性能,缓存与 CDN,High,EXISTING_PARTIAL,check_cache_cdn,audit_rules/checks/foundation_gaps.py,已对导出的响应头进行大小写无关的 Cache-Control/Age/CDN 状态解析并识别匿名页面缺失或 no-store 策略。缺少：未被 LibreCrawl 导出的静态资源级缓存验证。,checks/technical_performance.py,Error,LibreCrawl + ResponseHeaders,None,STATIC_ANALYSIS,MEDIUM,响应头未导出时保持 NOT_CHECKED
24,移动体验,移动可用性与真实设备体验,High,NEW_EXTERNAL_DATA,None (viewport check only),server.py:_build_report (viewport),仅检查 viewport meta 标签是否存在。缺少：移动端 Lighthouse 分数、触控目标间距、字体大小、横向滚动检测。PSI 的 CruX 和 Lighthouse 移动数据可覆盖大部分。,checks/mobile_ux.py,Error,PageSpeed API,PageSpeed API key,EXTERNAL_API,LOW,
25,安全与 Header,HTTPS 与证书链,Critical,EXISTING_PARTIAL,check_https_certificate,audit_rules/checks/foundation_gaps.py,已检查 HTTPS 重定向、全站 URL scheme、资源 Mixed Content，并消费可选 TLS validity/days_remaining 证据。缺少：生产 TLS 证书链 provider。,checks/security_headers.py,Error,LibreCrawl + TLSCertificate,TLS certificate evidence,STATIC_ANALYSIS + EXTERNAL_API,MEDIUM,缺少 TLS 证据时保持 NOT_CHECKED
26,安全与 Header,HSTS 与安全头,Medium,EXISTING_FULL,missing_hsts + missing_csp + missing_x_frame_options + missing_x_content_type_options + missing_referrer_policy,extended_checks.py,已完整实现。检查 5 个安全头的存在性，对 HTTPS+2xx 页面逐一验证。,,Opportunity,LibreCrawl,None,HTTP_FETCH,None,
27,结构化数据,Schema 类型覆盖,Medium,EXISTING_FULL,schema_check + schema_audit,server.py + schema_validator.py,已支持 17 种 schema 类型，含 @graph 解析（Yoast/RankMath/WPRM）。可输出按类型分组的覆盖统计。,,Opportunity,LibreCrawl,None,STATIC_ANALYSIS,None,
28,结构化数据,Schema 错误、重复与冲突,Medium,EXISTING_PARTIAL,schema_missing_required_field + schema_rich_result_missing_field + schema_parse_error,schema_validator.py,已检测 required fields 缺失和 parse errors。缺少：多插件/主题输出冲突检测（同一页面多个 Organization/Product/Breadcrumb 实体交叉验证）、重复 schema 实体识别。,checks/structured_data.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,插件冲突检测需要对比同一页面中多个 JSON-LD 块的 @id 和属性
29,国际化/多语言,hreflang 基础实现,Medium,EXISTING_FULL,hreflang 全套 (8 checks),extended_checks.py,已完整实现：self-reference、x-default、invalid codes、missing return tags、lang-attr conflicts、to_broken、to_noindex。误报修复（v2.0.5：大小写不敏感、x-default 排除）。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
30,链接分析,站内坏链,High,EXISTING_FULL,broken_pages + inlinks to 4xx,server.py:_build_report,已识别内部 4xx 链接并输出 Broken Pages 表（含 Linked From 和 anchor text）。导航和模板错误可被检测。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
31,链接分析,外部反向链接概览,Medium,EXISTING_PARTIAL,check_backlink_overview,audit_rules/checks/semrush.py,已通过 Semrush Backlinks API v4 记录反链、引用域、Authority Score 与新失链接基线。,checks/semrush.py,Opportunity,Semrush API,Semrush API v4 key,EXTERNAL_API,MEDIUM,Semrush 是付费服务；API v4 仍处于 Early Access
32,媒体与富媒体,Image/Video Sitemap,Low,EXISTING_PARTIAL,check_media_sitemap,checks/phase4a_rules.py,已实现crawl数据中的图片/视频检测、sitemap数据中的image:image/video:video命名空间检查。剩余gap：没有针对每个sitemap子内容类型进行完整XML解析，依赖sitemap raw文本检测；图片sitemap必要性判断依赖图片数量阈值（>10）。,,Opportunity,LibreCrawl,None,STATIC_ANALYSIS,LOW,
33,日志与抓取分析,Server Logs 抓取分析,High,NEW_EXTERNAL_DATA,None,无,需要服务器访问日志文件。可解析 Apache/Nginx 格式日志，统计 Googlebot/Bingbot 抓取频率、状态码分布、热点路径和浪费 URL。,checks/monitoring.py,Opportunity,Server Logs,Server log file access,EXTERNAL_API,HIGH,需要服务器 SSH/文件访问权限；共享主机可能不可用
34,监控与跟踪,Search Console/Analytics 配置,Critical,EXISTING_PARTIAL,check_gsc_ga4_config,audit_rules/checks/ga4.py,已验证 GSC API 可访问性、GA4 属性状态和 28 天数据连续性；Bing 与浏览器重复标签仍需人工。,checks/ga4.py,Error,GSC API + GA4 API,GSC + GA4 OAuth access,EXTERNAL_API,MEDIUM,需要对应平台权限；Bing 和重复标签检查保留人工步骤
35,监控与跟踪,事件与转化追踪,Medium,EXISTING_PARTIAL,check_event_conversion_tracking,audit_rules/checks/ga4.py,已通过 GA4 Admin/Data API 对比 Key Events 配置与 28 天事件计数；GTM 预览和真实提交仍需人工。,checks/ga4.py,Error,GA4 API,GA4 OAuth access,EXTERNAL_API,HIGH,GTM 预览模式和端到端真实提交仍需人工确认
36,WordPress 专项,核心/主题/插件更新与安全,High,NEW_MANUAL,None,无,版本和漏洞检查需要 WP 后台或 WP-CLI 访问权限。可通过扫描 readme.html、generator meta tag 推断 WP 版本，但无法获取插件/主题版本列表。,,Error,WordPress Admin,WP Admin access,MANUAL_REVIEW,None,需要 WordPress 管理员权限
37,WordPress 专项,SEO 插件与主题输出冲突,High,EXISTING_PARTIAL,schema 冲突部分检测,schema_validator.py,已检测同一页面的多个 JSON-LD 块的重复/冲突。缺少：Title/canonical/robots meta 的多个输出源检测（Yoast vs Rank Math vs 主题 SEO 功能 vs 缓存插件的 meta 输出）。,checks/wordpress.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,需要在 HTML head 中检测多个 SEO 插件的特征标记
38,WordPress 专项,Permalink 与 rewrite,Medium,EXISTING_PARTIAL,url_quality 系列,extended_checks.py,已检查 URL 中的空格/多斜杠/非 ASCII/下划线。缺少：WordPress 特定检测（?p=123 参数、重复路径 slug、rewrite 冲突、/%postname%/ vs /%category%/%postname%/ 一致性）。,checks/wordpress.py,Warning,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,需要了解站点的预期 permalink 结构
39,WordPress 专项,XML-RPC/REST API 暴露与滥用,Low,EXISTING_PARTIAL,check_wordpress_api_exposure,checks/phase4a_rules.py,已实现从crawl数据检测WordPress信号（URL路径、内部链接、generator meta）、xmlrpc.php可访问性、REST API用户暴露。WP_SECURITY_PROBES_ENABLED默认为false —— 不主动HTTP探测。剩余gap：无主动HTTP探测时覆盖率有限（仅在crawl数据中发现REST API端点），wp-login.php限速保护未检查。,,Warning,LibreCrawl,None,STATIC_ANALYSIS,LOW,
40,维护与流程,审计交付与优先级清单,Critical,EXISTING_PARTIAL,check_audit_deliverables + generate_task_csv,audit_rules/checks/audit_deliverables.py,已生成安全的结构化任务 CSV，包含 owner/assignee/due_date/status/verification_status、修复与验收字段。缺少：Jira/Trello/Notion 双向同步。,checks/monitoring.py,Opportunity,LibreCrawl,None,OUTPUT_ONLY,MEDIUM,项目管理平台同步需要对应 API
41,抓取与索引,Soft 404 与状态码真实性,High,EXISTING_FULL,soft_404,extended_checks.py,已检测返回 200 但内容为空/包含 "not found" 等短语的软 404。结合 GSC Soft 404 报告可进一步验证。,,Error,LibreCrawl,None,HTTP_FETCH,None,
42,抓取与索引,Sitemap URL 可索引一致性,High,EXISTING_FULL,sitemap cross-checks (6 checks),extended_checks.py,已实现：sitemap_url_noindex、sitemap_url_3xx、sitemap_contains_canonicalized、sitemap_url_disallowed_in_robots。Sitemap URL 的可索引性交叉验证完整。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
43,抓取与索引,Sitemap lastmod 准确性,Medium,EXISTING_PARTIAL,check_sitemap_lastmod,checks/phase4a_rules.py,已实现lastmod格式验证（W3C datetime解析）、未来日期检测、全部同一天模式检测（区分today vs historical）、sitemap数据多路径读取（sitemap_urls/extended_checks）。剩余gap：需要历史对比数据才能检测lastmod不一致（当前缺少跨audit对比）；sitemap lastmod原始数据可用性取决于crawl配置。,,Warning,LibreCrawl,None,STATIC_ANALYSIS,LOW,"合法旧页面可以有很旧的 lastmod；不以时间旧为判定条件"
44,抓取与索引,Google 选择的 Canonical,High,EXISTING_PARTIAL,check_google_selected_canonical,audit_rules/checks/gsc.py,已通过 GSC URL Inspection API 抽样查询 Google-selected canonical 并与 User-declared canonical 对比；受每日配额与抽样上限约束。,checks/gsc.py,Error,GSC API,GSC API access,EXTERNAL_API,HIGH,GSC URL Inspection API 有每日配额限制，未检查 URL 明确标记为部分执行
45,抓取与索引,孤立页面 Orphan Pages,High,EXISTING_FULL,orphan_pages,server.py:_build_report + sitemap_fill,已通过爬虫内链图 vs Sitemap 交叉比对检测孤岛。含 sitemap_fill 页面贡献的内链数据。GSC/GA4 中的额外 URL 可作为补充数据源。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
46,JavaScript SEO,渲染后内容完整性,High,NEW_EXTERNAL_DATA,None,无,需要 JS 渲染引擎（Puppeteer/Playwright）对比 Raw HTML vs Rendered DOM。原项目明确移除了 Playwright 依赖。可通过 GSC URL Inspection 的渲染截图间接验证。,,Error,GSC API or Playwright,Playwright (~300MB) or GSC API,EXTERNAL_API,HIGH,Playwright 依赖巨大且易碎；GSC 渲染截图有限
47,JavaScript SEO,可抓取链接 <a href>,High,EXISTING_PARTIAL,check_crawlable_links,checks/phase4a_rules.py,"已实现HTML中onclick导航和data-href（div/span/li/button/card）的检测、可抓取anchor与事件only元素比例分析、阈值门控。剩余gap：需要_raw_export中的原始HTML（不是所有export都包含）；regex检测是启发式的——可能遗漏复杂SPA/框架路由器模式（React Router、Vue Router）；modal/accordion/form button与导航链接的区分不够精确。",,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,"需要区分交互式组件和实际导航链接；HTML可用性不保证"
48,JavaScript SEO,Lazy-load 内容可索引,High,NEW_EXTERNAL_DATA,None,无,需要对比初始 HTML 与 JS 执行后的 DOM。没有 JS 渲染引擎时无法全自动检测。可检测常见的 Load More / 无限滚动模式（按钮文本、CSS 类名）。,checks/js_seo.py,Error,GSC API or Playwright,Playwright or GSC API,EXTERNAL_API,HIGH,无 JS 渲染引擎时检测覆盖不完整
49,URL 与重定向,URL 规范化完整性,High,EXISTING_PARTIAL,url_contains_space + url_multiple_slashes + url_non_ascii + url_underscores,extended_checks.py,已检测 4 类 URL 质量问题。缺少：大小写重复、尾部斜杠一致性、index.php/index.html 变体、参数排序一致性、HTTP/HTTPS www/non-www 全量变体验证。,checks/url_redirect.py,Error,LibreCrawl,None,STATIC_ANALYSIS,LOW,
50,URL 与重定向,重定向目标相关性,High,EXISTING_PARTIAL,redirect_chains,server.py:_build_report,已列出重定向链的 Source→Target→Hops。缺少：重定向目标相关性的自动判断（如批量 301 到首页检测、跨语言错误重定向检测）。,checks/url_redirect.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,目标相关性判断部分需要语义匹配
51,URL 与重定向,站内链接指向重定向 URL,Medium,EXISTING_PARTIAL,check_internal_redirect_links,checks/phase4a_rules.py,已实现URL→status_code O(1)查找map、3xx redirect（301/302/307/308）和broken（4xx/5xx）target检测、anchor text记录用于修复建议。剩余gap：依赖crawl中已爬取的target URL（未被爬取的内部链接target无法检测status）；没有redirect chain深度检测（仅检测直接target的status，不追踪多层重定向）。,,Warning,LibreCrawl,None,STATIC_ANALYSIS,LOW,
52,内容与关键词,关键词蚕食 Cannibalization,High,EXISTING_PARTIAL,check_keyword_cannibalization,audit_rules/checks/gsc.py,已通过 GSC Query→Pages 数据识别同一查询词对应多个有曝光页面；Semrush 可作为可选增强证据。,checks/gsc.py,Error,GSC API,GSC API access,EXTERNAL_API,HIGH,启发式候选仍需结合搜索意图人工确认
53,内容与关键词,搜索意图匹配,High,NEW_MANUAL,None,无,判断落地页类型与 SERP 主流意图匹配需要人工审查目标关键词前 10 结果。无法自动判断信息型/商业型/导航型/交易型意图。,,Error,Manual Review,None,MANUAL_REVIEW,None,需要人工分析 SERP 结果
54,内容与关键词,关键词—页面映射表,High,NEW_MANUAL,None,无,建立核心关键词与目标 URL 的长期映射是策略性工作。可提供数据（GSC Queries×Pages），但映射决策需要人工。,,Opportunity,Manual Review,None,MANUAL_REVIEW,None,策略性内容规划需要人工
55,内容质量,内容独特价值与信息增益,High,NEW_MANUAL,None,无,判断内容独特价值需要人工阅读并与竞争页对比。AI-tell 检测（content_audit）可标识明显的 AI 生成模板文本，但最终判断需人工。,,Error,Manual Review,None,MANUAL_REVIEW,None,内容质量评估需要人工专业判断
56,内容质量,内容时效与过期信息,Medium,NEW_MANUAL,None,无,可检测页面中包含的年份字符串（©2020 等），但不能判断规格/认证/MOQ/联系方式等时效信息是否过期。需要人工产品知识。,,Warning,Manual Review,None,MANUAL_REVIEW,None,需要产品和行业知识判断信息有效性
57,信任与 E-E-A-T,企业实体与信任信息,High,NEW_MANUAL,None,无,可检测 About/Contact/Privacy/Factory 等页面是否存在，但不能判断信息真实性、作者资质、实体一致性。Schema Organization 验证已有基础覆盖。,,Opportunity,Manual Review,None,MANUAL_REVIEW,None,信任评估需要人工验证企业信息
58,国际化/多语言,hreflang 可索引一致性,High,EXISTING_FULL,hreflang_to_noindex + hreflang_to_broken,extended_checks.py,已检查 hreflang 目标 URL 的可索引性（noindex/404/redirect）。双向互指验证完整。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
59,国际化/多语言,语言与 hreflang 代码匹配,Medium,EXISTING_PARTIAL,hreflang_invalid_codes + hreflang_conflicts_lang_attr,extended_checks.py,已检查代码格式有效性和 lang 属性一致性。缺少：实际页面内容语言检测（Clicore/LangDetect），机器翻译页的残留原文检测。,checks/international.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,需要 NLP 语言检测库
60,国际化/多语言,多语言 Canonical 策略,High,EXISTING_PARTIAL,check_multilang_canonical,checks/phase4a_rules.py,"已实现URL路径语言检测（/en/、/de/等）、HTML lang属性检测、hreflang自引用语言检测；跨语言canonical检测（不同语言→WARNING）；同语言区域变体（en-us→en-gb + hreflang cluster）不误报。剩余gap：语言检测依赖URL路径前缀（/en/）启发式——路径段可能不是语言代码（/es/可能为product category）；不处理IP/浏览器语言检测或用户代理检测的重定向；不检查hreflang与canonical冲突。",,Error,LibreCrawl,None,STATIC_ANALYSIS,LOW,
61,技术性能,Field Data 与 Lab Data 分离,High,EXISTING_PARTIAL,PSI field_data_cwv + lab_data,server.py:librecrawl_pagespeed,PSI 工具已同时返回 CrUX Field Data 和 Lighthouse Lab Data。但报告不区分两者，所有 PSI 数据在独立工具中，未整合进主审计报告。,checks/technical_performance.py,Warning,PageSpeed API,PageSpeed API key,EXTERNAL_API,LOW,
62,技术性能,第三方脚本影响,High,NEW_EXTERNAL_DATA,None,无,PageSpeed Insights 提供 Third-Party Code 诊断（字节数、主线程阻塞时间）。需要 PSI 数据的 thirdPartySummary 字段解析和报告聚合。,checks/technical_performance.py,Warning,PageSpeed API,PageSpeed API key,EXTERNAL_API,LOW,
63,技术性能,字体加载与布局偏移,MEDIUM,NEW_EXTERNAL_DATA,None,无,PSI/Lighthouse 提供 CLS 诊断（Layout Shift Regions、Web Font 加载）。部分可通过检测 font-display CSS、未设尺寸的 img/video 来补充。,checks/technical_performance.py,Warning,PageSpeed API,PageSpeed API key,EXTERNAL_API,LOW,
64,WordPress 专项,WP-Cron 与后台任务,Medium,NEW_MANUAL,None,无,检查 wp-cron.php 调用频率和异常任务需要服务器日志和 WP-CLI 访问。无法从外部检测。,checks/wordpress.py,Warning,WordPress Admin + Server Logs,WP Admin + Server access,MANUAL_REVIEW,None,需要服务器和 WordPress 后台权限
65,WordPress 专项,数据库与 Autoload 膨胀,Medium,NEW_MANUAL,None,无,检查 wp_options autoload、transients、修订版本需要数据库访问。外部检测不可能。,checks/wordpress.py,Warning,WordPress Admin + Database,WP Admin + DB access,MANUAL_REVIEW,None,需要数据库管理员权限
66,WordPress 专项,页面缓存/Object Cache/CDN 协同,High,EXISTING_PARTIAL,check_cache_plugin_cdn_synergy,audit_rules/checks/foundation_gaps.py,已解析 Cache-Control 与 CF-Cache-Status/X-Cache，并检测 cart/checkout/login/account/form 等动态页被公开缓存。缺少：WordPress 插件/Object Cache 配置级证据。,checks/wordpress.py,Error,LibreCrawl + ResponseHeaders,None,STATIC_ANALYSIS,MEDIUM,响应头未导出或需插件配置证据时保持部分覆盖
67,WordPress 专项,测试站/Staging 被索引,Critical,EXISTING_PARTIAL,check_staging_indexability,checks/phase4a_rules.py,"已实现三层检测：(A)当前audit hostname匹配staging/dev模式（20+hostname pattern包括*.wpengine.com/*.kinsta.cloud等）；(B)crawl/link/canonical/hreflang数据中的staging URL发现；(C)用户配置STAGING_URLS。绝对不扫描DNS或暴力枚举子域。剩余gap：无法证明staging环境不存在（仅信息级低置信度）；不主动探测未知子域；password protection检测有限（仅检查noindex，不尝试登录或检测basic auth）。",,Error,LibreCrawl,None,STATIC_ANALYSIS,LOW,
68,WordPress 专项,管理员账号与 2FA,High,NEW_MANUAL,None,无,需要 WP 后台用户列表和 WAF 日志访问。外部分析可检测 wp-login.php 是否有 WAF/限速、用户名枚举漏洞（?author=1 重定向到 /author/admin/）。,,Error,WordPress Admin,WP Admin access,MANUAL_REVIEW,None,需要管理员权限；部分检测可通过外部扫描
69,WordPress 专项,废弃插件与主题,High,NEW_MANUAL,None,无,需要 WP 后台或 WP-CLI 访问。外部可通过 readme.txt 文件、generator meta、CSS/JS 路径推断部分插件，但无法全面覆盖。,,Error,WordPress Admin,WP Admin access,MANUAL_REVIEW,None,需要 WordPress 管理员权限
70,用户体验/Accessibility,表单与链接可访问性,Medium,EXISTING_PARTIAL,empty_anchor_text + anchor_image_no_alt + iframe_missing_title,extended_checks.py,已检查空锚文本、图片链接无 ALT、iframe 无 title。缺少：表单 label/aria-label、按钮可访问名称、键盘导航、viewport zoom 禁用、颜色对比度。,checks/conversion.py,Opportunity,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,部分可访问性项需要 Lighthouse 或 axe-core 工具
71,转化与功能,询盘表单端到端测试,Critical,NEW_MANUAL,None,无,需要在 PC/移动端真实提交每个主要表单并验证后端→邮箱→CRM→GA4 链路。自动化可检测表单 action URL 的有效性、必填字段标记、前端验证，但不能自动提交。,,Error,Manual Testing,None,MANUAL_REVIEW,None,真实表单提交需要人工执行
72,监控与跟踪,Manual Actions 与 Security Issues,Critical,NEW_MANUAL,None,无,"当前标准 Search Console API 不提供 Manual Actions/Security Issues 自动读取接口。需要人工在 Google Search Console UI 中验证。自动化运行：execution_status = NOT_CHECKED，reason = ""Requires manual verification in Google Search Console UI; no supported Search Console API endpoint configured."" 不要伪造 PASS。",checks/monitoring.py,Error,GSC_UI,None,MANUAL_REVIEW,N/A,GSC API 无对应端点；需人工登录 GSC 查看
73,监控与跟踪,SEO 修改日志,High,NEW_MANUAL,None,无,建立变更日志并关联 GSC 排名/流量趋势是流程/文档工作。可提供 GSC 排名变化数据作为输入，但日志本身需人工维护。,,Opportunity,Manual Process,None,MANUAL_REVIEW,None,流程性工作，需要团队纪律
74,监控与跟踪,SEO 上线前后回归测试,High,EXISTING_PARTIAL,check_regression_test,audit_rules/checks/snapshot_diff.py,已实现可移植 audit-snapshot-v1.json.gz、schema 校验、确定性 before/after diff、crawl-diff.csv 与 Rule 74 findings。首次审计或未提供 baseline 时必须 NOT_CHECKED；不依赖 session_id 长期存在。,audit_rules/snapshot.py + audit_rules/snapshot_diff.py,Error,LibreCrawl + SnapshotBaseline,None,STATIC_ANALYSIS + CRAWL_COMPARISON,MEDIUM,实现完整；运行比较需要用户提供或持久化导出的 baseline snapshot
